,UniformMK,EasyMKL,rbf,poly,laplace,sigmoid,linear,mlp
"poly, $\gamma =  $0.05, deg = 2, $\alpha = $0.8",0.49 $\pm$ 0.00,0.98 $\pm$ 0.00,0.96 $\pm$ 0.00,0.98 $\pm$ 0.00,0.94 $\pm$ 0.01,0.49 $\pm$ 0.00,0.61 $\pm$ 0.06,0.97 $\pm$ 0.00
"poly, $\gamma =  $0.05, deg = 2, $\alpha = $1",0.49 $\pm$ 0.00,0.98 $\pm$ 0.00,0.96 $\pm$ 0.01,0.98 $\pm$ 0.00,0.94 $\pm$ 0.00,0.49 $\pm$ 0.00,0.52 $\pm$ 0.01,0.97 $\pm$ 0.00
"poly, $\gamma =  $0.05, deg = 2, $\alpha = $1.2",0.49 $\pm$ 0.00,0.98 $\pm$ 0.00,0.96 $\pm$ 0.00,0.98 $\pm$ 0.00,0.94 $\pm$ 0.00,0.49 $\pm$ 0.00,0.53 $\pm$ 0.02,0.97 $\pm$ 0.00
"poly, $\gamma =  $0.05, deg = 3, $\alpha = $0.8",0.49 $\pm$ 0.00,0.98 $\pm$ 0.00,0.96 $\pm$ 0.01,0.98 $\pm$ 0.00,0.93 $\pm$ 0.01,0.49 $\pm$ 0.00,0.54 $\pm$ 0.03,0.97 $\pm$ 0.00
"poly, $\gamma =  $0.05, deg = 3, $\alpha = $1",0.49 $\pm$ 0.00,0.98 $\pm$ 0.00,0.96 $\pm$ 0.00,0.98 $\pm$ 0.00,0.94 $\pm$ 0.01,0.49 $\pm$ 0.00,0.59 $\pm$ 0.05,0.97 $\pm$ 0.00
"poly, $\gamma =  $0.05, deg = 3, $\alpha = $1.2",0.49 $\pm$ 0.00,0.98 $\pm$ 0.00,0.96 $\pm$ 0.00,0.98 $\pm$ 0.00,0.94 $\pm$ 0.00,0.49 $\pm$ 0.00,0.53 $\pm$ 0.01,0.97 $\pm$ 0.00
"poly, $\gamma =  $0.1, deg = 2, $\alpha = $0.8",0.49 $\pm$ 0.00,0.98 $\pm$ 0.00,0.96 $\pm$ 0.00,0.98 $\pm$ 0.00,0.93 $\pm$ 0.01,0.49 $\pm$ 0.00,0.54 $\pm$ 0.04,0.97 $\pm$ 0.00
"poly, $\gamma =  $0.1, deg = 2, $\alpha = $1",0.49 $\pm$ 0.00,0.98 $\pm$ 0.00,0.96 $\pm$ 0.00,0.98 $\pm$ 0.00,0.93 $\pm$ 0.01,0.49 $\pm$ 0.00,0.53 $\pm$ 0.02,0.97 $\pm$ 0.00
"poly, $\gamma =  $0.1, deg = 2, $\alpha = $1.2",0.49 $\pm$ 0.00,0.98 $\pm$ 0.00,0.96 $\pm$ 0.00,0.98 $\pm$ 0.00,0.94 $\pm$ 0.00,0.49 $\pm$ 0.00,0.54 $\pm$ 0.01,0.97 $\pm$ 0.00
"poly, $\gamma =  $0.1, deg = 3, $\alpha = $0.8",0.49 $\pm$ 0.00,0.98 $\pm$ 0.00,0.96 $\pm$ 0.00,0.98 $\pm$ 0.00,0.94 $\pm$ 0.00,0.49 $\pm$ 0.00,0.54 $\pm$ 0.00,0.97 $\pm$ 0.00
"poly, $\gamma =  $0.1, deg = 3, $\alpha = $1",0.49 $\pm$ 0.00,0.98 $\pm$ 0.00,0.96 $\pm$ 0.00,0.98 $\pm$ 0.00,0.93 $\pm$ 0.00,0.49 $\pm$ 0.00,0.56 $\pm$ 0.02,0.97 $\pm$ 0.00
"poly, $\gamma =  $0.1, deg = 3, $\alpha = $1.2",0.49 $\pm$ 0.00,0.98 $\pm$ 0.00,0.96 $\pm$ 0.00,0.98 $\pm$ 0.00,0.93 $\pm$ 0.00,0.49 $\pm$ 0.00,0.54 $\pm$ 0.03,0.97 $\pm$ 0.00
"poly, $\gamma =  $0.15, deg = 2, $\alpha = $0.8",0.49 $\pm$ 0.00,0.98 $\pm$ 0.00,0.96 $\pm$ 0.00,0.98 $\pm$ 0.00,0.93 $\pm$ 0.00,0.49 $\pm$ 0.00,0.57 $\pm$ 0.02,0.97 $\pm$ 0.00
"poly, $\gamma =  $0.15, deg = 2, $\alpha = $1",0.49 $\pm$ 0.00,0.98 $\pm$ 0.00,0.96 $\pm$ 0.00,0.98 $\pm$ 0.00,0.94 $\pm$ 0.00,0.49 $\pm$ 0.00,0.54 $\pm$ 0.01,0.97 $\pm$ 0.00
"poly, $\gamma =  $0.15, deg = 2, $\alpha = $1.2",0.49 $\pm$ 0.00,0.98 $\pm$ 0.00,0.96 $\pm$ 0.00,0.98 $\pm$ 0.00,0.93 $\pm$ 0.00,0.49 $\pm$ 0.00,0.54 $\pm$ 0.01,0.97 $\pm$ 0.00
"poly, $\gamma =  $0.15, deg = 3, $\alpha = $0.8",0.49 $\pm$ 0.00,0.98 $\pm$ 0.00,0.96 $\pm$ 0.00,0.98 $\pm$ 0.00,0.93 $\pm$ 0.01,0.49 $\pm$ 0.00,0.58 $\pm$ 0.03,0.97 $\pm$ 0.00
"poly, $\gamma =  $0.15, deg = 3, $\alpha = $1",0.49 $\pm$ 0.00,0.98 $\pm$ 0.00,0.96 $\pm$ 0.00,0.98 $\pm$ 0.00,0.93 $\pm$ 0.00,0.49 $\pm$ 0.00,0.57 $\pm$ 0.01,0.97 $\pm$ 0.00
"poly, $\gamma =  $0.15, deg = 3, $\alpha = $1.2",0.49 $\pm$ 0.00,0.98 $\pm$ 0.00,0.96 $\pm$ 0.00,0.98 $\pm$ 0.00,0.93 $\pm$ 0.00,0.49 $\pm$ 0.00,0.56 $\pm$ 0.01,0.97 $\pm$ 0.00
"rbf, $\gamma =  $0.1, deg = NA, $\alpha = $NA",0.49 $\pm$ 0.00,0.98 $\pm$ 0.00,0.96 $\pm$ 0.00,0.98 $\pm$ 0.00,0.94 $\pm$ 0.00,0.49 $\pm$ 0.00,0.58 $\pm$ 0.04,0.97 $\pm$ 0.00
"rbf, $\gamma =  $0.15, deg = NA, $\alpha = $NA",0.49 $\pm$ 0.00,0.98 $\pm$ 0.00,0.96 $\pm$ 0.00,0.98 $\pm$ 0.00,0.94 $\pm$ 0.00,0.49 $\pm$ 0.00,0.60 $\pm$ 0.03,0.97 $\pm$ 0.00
